itemid,property,num_value
374305,790,8160.0
111002,432,1297962.0
363439,654,525396.0
36904,790,13800.0
311115,761,28.32
352192,790,58296.0
153707,654,525396.0
462941,790,16956.0
197210,790,352080.0
270810,790,206400.0
447444,966,1536.0
447783,19,30603.0
28599,790,342360.0
141050,790,15000.0
79437,719,593897.0
19346,810,
422886,790,56628.0
273439,542,924073.0
78071,810,
376299,790,8580.0
3593,790,33000.0
138017,790,18840.0
390703,19,309206.0
412505,790,2760.0
344598,400,424566.0
304426,324,
409953,790,29640.0
21612,790,63960.0
411986,456,147634.0
333579,888,52183.0
227716,884,
76623,790,292920.0
388340,125,60.0
291838,888,24.0
377850,400,424566.0
26934,888,966220.0
171627,202,4368140460.0
188249,566,424566.0
36159,810,1175087.0
386625,790,49800.0
277039,790,104400.0
234134,761,190776.0
93179,566,424566.0
253710,104,1200.0
441345,888,
292348,400,424566.0
180676,790,8880.0
185282,790,9840.0
234748,790,259440.0
374003,400,639502.0
355747,790,183960.0
441800,758,24.0
303897,917,770984.0
131652,400,
301420,771,190776.0
300262,790,39240.0
82183,790,108000.0
175780,1064,1020281.0
3465,810,628176.0
2788,456,48.0
65319,790,53520.0
253434,790,34704.0
278888,790,7200.0
60459,790,244464.0
259189,790,227160.0
365195,400,424566.0
407207,638,12.0
385849,663,168.0
29968,790,6000.0
3911,1084,60.0
233268,456,147634.0
305699,283,562911.0
51720,888,1128577.0
106691,888,24096.0
39547,1058,48.0
257674,281,609363.0
395845,790,229920.0
239816,790,25920.0
177141,1054,120.0
200565,888,
74217,631,988555.0
218060,790,16320.0
216489,0,423380.0
175627,790,42588.0
145059,790,55200.0
389052,663,187.2
385030,888,24060.0
181934,790,25560.0
233598,771,190776.0
193249,720,10317.0
179215,790,209400.0
156131,663,187.2
4655,790,28320.0
457740,976,12.0
69507,945,
176923,790,137880.0
152389,790,19080.0
345887,790,153120.0
210097,810,424566.0
453792,719,12.0
53612,790,109440.0
235673,790,15600.0
442418,810,1175087.0
12910,758,24.0
168115,663,121.2
284474,888,297715.0
140076,400,552.0
29295,1066,424566.0
272615,140,1169762.0
278025,810,424566.0
172487,790,47640.0
135027,888,30603.0
266962,790,32520.0
160370,790,200136.0
86825,790,1425600.0
142502,790,42120.0
287978,790,11112.0
43573,790,35640.0
30137,888,13236.0
238774,790,31212.0
200366,620,664227.0
321673,441,384.0
171708,790,35880.0
79609,790,30360.0
73712,790,282000.0
207086,790,0.0
134443,790,187680.0
451280,790,3840.0
67957,663,187.2
308273,400,639502.0
54644,790,271080.0
410005,758,1187104.0
17218,790,4440.0
38437,888,870757.0
81595,400,639502.0
3574,790,78480.0
356483,790,63960.0
133308,631,360.0
45933,400,
273043,790,21312.0
57763,917,770786.0
254204,790,38880.0
263923,663,187.2
57304,810,628176.0
254750,790,16440.0
154252,283,876041.0
64145,888,961511.0
86319,888,628176.0
116806,790,159000.0
138517,790,12480.0
97278,888,1119494.0
83822,795,757932.0
459876,790,37800.0
308517,810,424566.0
442853,888,334116.0
291717,790,24240.0
10788,202,2928158640.0
278496,333,1135780.0
91855,566,210.0
396353,283,269926.0
342981,884,628176.0
86845,790,20040.0
203994,810,
262257,1054,639502.0
230041,790,36600.0
106927,790,32040.0
316155,115,12.0
443425,324,639502.0
329832,19,48.0
389953,810,
198757,790,11640.0
179774,790,259200.0
243679,888,848508.0
51098,888,1185571.0
212442,619,6000.0
7627,749,
123289,810,2520.0
164444,790,14028.0
399950,790,989040.0
272302,199,686768.0
438140,888,1284577.0
381398,810,1175087.0
38101,790,198000.0
315935,333,639502.0
421446,719,593897.0
139603,790,13080.0
79246,790,9120.0
155669,619,1187104.0
84740,320,12.0
71039,758,1187104.0
239904,400,424566.0
262295,1075,1029109.0
300288,761,31.2
614,790,6600.0
452612,400,552.0
372584,888,23244.0
80306,888,1154859.0
394143,790,27120.0
401336,400,
210352,790,242880.0
19962,790,11640.0
173243,917,569244.0
48272,611,1187104.0
143279,888,816600.0
57099,720,22800.0
50098,917,20088.0
29944,663,187.2
353531,400,424566.0
404801,663,121.2
451064,790,19320.0
282658,400,552.0
281058,790,32040.0
221046,771,639502.0
327391,790,228000.0
139730,991,13200.0
363385,888,14280.0
58962,1054,639502.0
455104,888,
9163,790,155160.0
225750,790,18960.0
59478,888,1245639.0
221941,790,99168.0
414752,761,190776.0
60793,400,424566.0
45356,790,0.0
178513,400,720.0
168964,400,714.0
188404,663,145.2
305959,842,12.0
412650,400,639502.0
312388,790,33000.0
349178,790,324000.0
252329,790,26568.0
128486,790,30048.0
174658,790,11988.0
396104,790,18000.0
383703,566,424566.0
152935,1054,639502.0
124521,373,1144008.0
160526,790,26520.0
404327,758,24.0
33179,917,936598.0
152344,198,12.0
153435,631,360.0
122182,790,8400.0
67281,663,184.8
48766,720,24000.0
396620,140,1169762.0
136266,18,190776.0
378687,790,54000.0
44672,719,12.0
272263,790,64320.0
233731,810,456.0
172515,790,66240.0
271728,790,0.0
11308,790,8040.0
314719,631,988555.0
212918,790,104160.0
354881,888,1007882.0
57795,566,424566.0
114039,423,190776.0
270545,790,51888.0
150185,790,18240.0
120807,441,
187847,619,1187104.0
158514,790,4200.0
68599,790,15480.0
290699,790,24960.0
150310,654,146.4
111693,566,311.52
455310,771,15.6
193815,671,396934.0
304139,719,593601.0
132458,790,130680.0
86386,810,18.0
354570,888,481453.0
109782,790,34920.0
371983,790,161040.0
227000,790,220560.0
301367,685,1344.0
258850,966,1187104.0
17651,400,
193762,810,1175087.0
148039,810,424566.0
412457,790,91080.0
342122,790,57120.0
103776,790,110640.0
314748,400,639502.0
148724,658,21263.0
343343,761,190776.0
463339,1068,8400.0
118933,279,
167363,790,0.0
374703,790,14640.0
291509,888,4512.0
452850,299,424566.0
201361,619,6000.0
322843,810,
443213,790,515400.0
220154,790,41880.0
168950,188,10317.0
384093,714,46.8
344253,810,504.0
464572,663,187.2
260777,400,552.0
123209,790,332280.0
381100,888,8416.8
99804,977,6480.0
90299,790,899520.0
285400,790,22320.0
79764,790,104520.0
132124,1075,1029109.0
110524,790,6840.0
358742,888,373123.0
8347,761,24.0
159981,1054,180.0
386887,790,16200.0
116728,120,639502.0
21109,790,4680.0
289854,790,52680.0
193531,790,34920.0
45164,888,144.0
73059,810,424566.0
179266,790,21480.0
353314,719,593897.0
414047,120,1057641.0
170634,1066,205.68
138134,456,48.0
42907,888,85872.0
411520,790,200640.0
229879,810,336.0
349225,810,96.0
43281,202,8527560.0
83439,992,21600.0
328365,400,
215984,400,386.4
341150,400,639502.0
181395,758,1187104.0
400502,790,4560.0
196028,1054,639502.0
68390,888,257835.0
456353,790,21600.0
351285,810,
440076,917,57730017053064.0
355138,0,1186610.0
129482,790,11400.0
324766,888,552121.0
347884,810,
388931,790,139200.0
254542,790,46884.0
332037,790,18480.0
303752,790,32520.0
161678,400,424566.0
100233,566,424566.0
33753,586,26400.0
21011,790,14040.0
169349,810,288.0
409406,222,12.0
161509,790,83400.0
124125,790,45240.0
113906,964,2760.0
48597,790,9900.0
456610,397,24.0
347850,888,1007882.0
55204,1066,135.6
55348,790,597840.0
254709,888,
188983,917,1292509.0
268592,1054,
238763,790,14232.0
233387,314,54.0
272834,441,1464.0
2785,495,180.0
254709,888,612841.0
413139,917,77257067120508.0
142130,611,1187104.0
125780,400,424566.0
158475,790,102960.0
84568,917,385716.0
238071,917,7221576072.0
318170,575,877680.0
382436,881,60.0
26839,790,75960.0
161445,790,203880.0
363302,790,47400.0
240657,888,1128577.0
72691,790,38280.0
133168,888,581276.0
254954,790,31440.0
159987,613,424566.0
43321,964,1128577.0
342084,790,111360.0
328242,888,628176.0
16388,790,194004.0
374284,790,62880.0
447325,566,424566.0
365831,790,9840.0
341051,810,424566.0
130500,400,
331104,790,22200.0
160839,790,3240.0
277073,1025,860720.0
287187,400,639502.0
1372,400,424566.0
16223,790,9480.0
164830,810,
45895,790,27000.0
191899,771,15.6
25204,199,686768.0
336273,19,309206.0
256862,745,357.6
148135,790,7200.0
74282,888,1097825.0
466763,1066,424566.0
139089,1054,639502.0
56618,790,17280.0
347369,790,2379840.0
397596,790,57720.0
405119,790,272880.0
249004,888,925780.0
120357,977,4020.0
451373,201,639502.0
78713,258,2400.0
988,790,81720.0
17572,790,22800.0
306399,188,164850.0
62092,400,639502.0
270183,790,13080.0
442728,1025,860720.0
250765,400,424566.0
394269,790,34080.0
141044,1054,
269877,790,8856.0
2864,790,32160.0
295094,98,252.0
242007,888,
414758,888,197169.0
212967,456,60.0
323218,810,
33791,790,18276.0
381855,810,424566.0
303890,19,216.0
56626,400,720.0
322395,719,36.0
63720,888,155801.0
93431,663,187.2
28667,734,6000.0
33431,456,525396.0
320797,888,275398.0
69670,400,
385866,790,238560.0
202653,104,12000.0
24304,888,350726.0
277835,795,757932.0
234283,758,12.0
425062,790,45360.0
276247,1054,639502.0
132773,790,39948.0
66874,900,424566.0
211861,888,
313670,790,33600.0
166907,790,279120.0
80654,464,276.0
215389,790,55200.0
20513,586,10317.0
447162,400,639502.0
223080,400,639502.0
301822,619,1072114.0
460476,120,639502.0
23441,917,4228008.0
305030,188,10317.0
61701,1066,424566.0
31503,400,552.0
54056,631,360.0
52834,719,593897.0
336287,32,48.0
465513,299,
258689,745,432.0
316213,790,277800.0
365145,400,102.0
27470,790,24120.0
370871,790,6228.0
104134,96,180.0
83314,790,8160.0
129573,771,190776.0
295557,400,552.0
420656,400,424566.0
81236,964,1128577.0
300319,790,172200.0
351524,611,12.0
9676,566,424566.0
419782,19,36.0
97337,19,350726.0
420747,1025,7200.0
157027,0,24.0
39422,790,2880.0
200690,14,628176.0
238339,790,9840.0
398316,663,207.6
233174,1075,1029109.0
96977,1054,
110883,790,18960.0
201707,888,784581.0
211023,400,424566.0
394865,749,1128577.0
143966,790,46800.0
345626,400,732.0
70698,790,6480.0
182642,790,330000.0
240248,790,99480.0
357410,719,24.0
362792,400,424566.0
226667,790,5280.0
59670,324,639502.0
137508,400,289.2
277874,790,0.0
283713,790,174240.0
389595,936,336.0
220639,120,1187104.0
231065,888,1175087.0
400174,400,2580.0
392066,790,612120.0
464444,790,18120.0
336866,976,30.0
35192,790,20640.0
385418,790,18228.0
95970,619,6000.0
398557,888,1284577.0
108566,917,31303017252.0
179516,790,4800.0
338729,1054,639502.0
384971,400,720.0
187310,917,6073884.0
260113,192,192.0
171944,456,148.8
256756,1066,30.36
60469,654,61.2
429156,19,48.0
127008,790,40320.0
339283,790,114600.0
95854,400,424566.0
328104,468,272976.0
389234,790,18840.0
165650,790,95520.0
241346,790,32280.0
105172,810,424566.0
180782,790,28800.0
16426,790,155640.0
83058,790,0.0
437915,400,
406679,810,2520.0
239987,790,105840.0
175113,19,309206.0
301162,400,
74833,795,
429016,441,1608.0
118933,279,
222790,810,424566.0
163387,810,1284.0
323021,790,87756.0
298897,771,15.6
52287,566,424566.0
68054,790,17520.0
441275,658,21263.0
279294,761,190776.0
72219,674,96.0
186257,400,424566.0
416858,1084,72.0
22820,761,190776.0
150720,1066,424566.0
334518,761,31.68
208247,400,424566.0
255617,279,
72297,888,1136400.0
161603,1060,1749.0
381132,881,60.0
363111,790,63480.0
138578,888,832471.0
433868,575,94812.0
403194,790,7188.0
375403,888,33089.0
377413,888,618514.0
219732,790,36600.0
266961,790,175560.0
356482,400,552.0
222259,790,66960.0
133348,1066,424566.0
113014,790,219240.0
211446,141,12.0
48767,734,10317.0
9931,790,145704.0
140491,790,147084.0
107595,917,
395480,790,76680.0
363781,790,323880.0
444027,888,65556.0
183189,902,12.0
218761,790,6600.0
36437,888,188051.0
463810,790,27360.0
308730,888,318029.0
79199,790,10920.0
192055,810,1175087.0
433628,400,552.0
117565,279,628176.0
24208,432,639502.0
84036,265,67.2
10377,881,72.0
65621,102,807959.0
63192,611,1187104.0
110374,917,528637.0
198675,790,3480.0
404633,790,392880.0
232524,790,33480.0
226063,790,54720.0
111593,283,1178626.0
199722,463,60.0
448191,790,203160.0
179274,893,12.0
34784,790,19440.0
39944,574,7680.0
44779,790,193788.0
216574,279,1175087.0
362619,638,12.0
456598,790,64692.0
83776,888,958728.0
399542,586,12960.0
79932,400,639502.0
298572,976,27.6
432448,726,48.0
42274,566,290.4
356363,888,1253653.0
65436,917,
149838,810,888.0
102391,761,27.84
171954,19,350726.0
397352,790,99600.0
361863,790,4320.0
330756,888,1034695.0
261180,400,2820.0
265956,202,17102.0
47415,790,50880.0
133547,188,1320.0
279226,790,25080.0
354744,888,1055803.0
127389,202,25104.0
409126,790,17640.0
188475,790,11880.0
174659,888,63.0
243782,917,
437163,37,-72.0
77989,888,24.0
9675,42,240.0
331163,969,2880.0
256621,663,207.6
451904,888,388993.0
146615,888,360.0
228750,790,8760.0
28789,888,
356799,758,24.0
445765,400,424566.0
297645,749,1128577.0
258541,726,545395.0
156672,441,
420155,441,1824.0
424576,771,
121063,888,672403.0
331006,790,3960.0
72770,810,30.0
201325,415,704799.0
293918,790,85560.0
299461,881,60.0
2646,790,418440.0
392333,790,101040.0
389838,400,424566.0
202950,790,8520.0
219384,19,350726.0
214260,790,114120.0
302005,790,5760.0
444562,790,0.0
251527,888,13236.0
238433,790,48456.0
369767,324,
342,790,547188.0
56601,888,68760.0
269649,790,117480.0
284609,790,67440.0
252368,790,47880.0
364832,611,24.0
72459,790,30000.0
265361,19,120.0
33449,400,552.0
173674,790,6480.0
278254,279,1175087.0
154076,719,593897.0
280083,790,33360.0
29387,790,97800.0
197555,719,593897.0
294773,790,114000.0
372423,790,142080.0
257108,790,43320.0
388651,279,1175087.0
344850,790,12120.0
443552,771,190776.0
37012,89,480.0
235858,790,5640.0
167065,790,59880.0
59729,283,1249027.0
194324,790,68232.0
414162,790,16440.0
294448,569,12.0
457867,790,1066800.0
255404,810,360.0
375113,888,153900.0
187640,69,12792.0
53628,790,86520.0
158691,790,57240.0
180274,400,639502.0
133290,275,19.2
412793,790,17160.0
164835,888,906385.0
375952,441,960.0
298774,790,2760.0
275058,761,35.16
332106,790,12600.0
93308,663,187.2
156362,790,74760.0
338314,790,0.0
114995,790,6240.0
76050,917,6120.0
22271,810,420.0
376855,790,2880.0
435923,400,424566.0
312568,758,36.0
431621,790,819480.0
395998,790,18768.0
459369,19,350726.0
103450,761,190776.0
322913,888,47196.0
153032,900,424566.0
140621,313,720.0
13666,468,272976.0
232031,893,24.0
390659,468,272976.0
269300,790,192720.0
225182,400,552.0
420896,790,153960.0
34314,790,30060.0
440951,790,21480.0
110166,611,1187104.0
100238,748,1144008.0
359812,888,7296.0
435395,1066,424566.0
254517,790,9000.0
154590,790,75480.0
368159,400,716.4
396131,761,24.0
119362,961,60156.0
186058,917,18044400.0
218080,790,6600.0
281000,790,41988.0
428356,790,105240.0
378308,19,216.0
209405,917,295872.0
94337,790,83880.0
194966,888,544147.0
148191,790,7560.0
204072,790,41760.0
428726,19,350726.0
312802,790,562308.0
219195,654,525396.0
430398,19,350726.0
68787,790,4080.0
313836,888,237874.0
113699,888,820944.0
25730,790,143880.0
305097,976,30.36
293768,884,15360.0
436348,566,364.8
183474,810,1175087.0
366978,790,8772.0
123354,1066,424566.0
37766,790,9360.0
4579,810,
222476,790,55080.0
51273,758,12.0
356460,888,96.0
13680,720,28.8
75996,994,318029.0
393680,344,628176.0
368412,917,1622.52
32153,790,48612.0
350499,400,404.4
141184,566,424566.0
199144,790,36000.0
316900,888,
163724,888,832471.0
387150,790,30720.0
396885,810,384.0
37917,654,525396.0
313434,1097,655992.0
370975,316,864.0
322338,400,424566.0
323891,19,60.0
465349,790,5040.0
30876,464,504.0
335250,441,1128.0
330264,790,26520.0
252724,790,45120.0
41807,917,898889.0
415685,888,635635.0
278999,902,628176.0
124143,400,
190999,790,169080.0
124098,790,7080.0
185068,790,96000.0
186406,400,639502.0
219414,790,138000.0
258852,790,91680.0
198269,790,384240.0
44961,893,12.0
247471,720,8.4
448240,803,9600.0
416068,102,396934.0
105605,1054,180.0
71785,790,141000.0
70719,790,45840.0
33305,810,7320.0
408113,790,6720.0
328063,400,424566.0
394619,888,1800.0
246898,726,1187104.0
113964,324,639502.0
407490,202,3600.0
228190,790,57000.0
1164,790,6360.0
249233,658,21263.0
195940,790,27720.0
170277,888,30603.0
126748,400,
89176,720,10317.0
273816,320,36.0
291153,400,369.6
385204,1056,3.186
324499,790,43020.0
374329,790,13920.0
193490,566,315.6
134641,790,42840.0
105125,790,5520.0
277558,790,4320.0
171121,888,99108.0
325506,790,138240.0
162936,888,206386.0
422386,790,238320.0
258678,120,923584.0
35396,790,90000.0
350399,888,13236.0
433955,464,42.0
360659,761,68.4
70039,964,2640.0
265211,790,198960.0
295953,917,14640.0
327043,790,31560.0
261723,810,
70651,790,18120.0
260718,810,1144008.0
368764,188,5400.0
225168,790,15360.0
424248,790,19740.0
189278,790,37560.0
339255,790,7440.0
405507,810,424566.0
427095,400,424566.0
134729,199,12.0
362854,771,190776.0
453164,202,36.0
122750,888,1284577.0
3062,771,190776.0
398078,790,5880.0
401712,790,54720.0
310947,115,12.0
209760,790,12360.0
146963,139,924073.0
457331,790,17880.0
272054,663,187.2
346165,328,
291823,367,1144008.0
16649,790,29760.0
210618,803,12000.0
128648,888,4437180.0
233494,888,1220311.0
372774,810,1032.0
265685,953,21263.0
330694,206,204.0
364147,19,350726.0
138206,790,100440.0
279551,400,639502.0
306333,790,5160.0
368632,790,35400.0
361475,790,599880.0
222275,884,15360.0
453060,790,52080.0
144421,790,154800.0
172228,900,672.0
234224,888,612565.0
77995,400,424566.0
313490,441,1392.0
162154,202,4812.022
361742,790,4080.0
79316,400,552.0
451213,790,5400.0
25315,964,1128577.0
249169,19,84.0
53510,719,12.0
284272,810,
284127,456,148.8
167997,917,67464.0
38711,790,37920.0
143027,790,32880.0
62660,400,639502.0
43961,645,1187104.0
241236,419,63.0
53337,400,639502.0
378594,400,639502.0
127300,790,78840.0
33422,790,92160.0
380061,790,31080.0
418868,1095,190776.0
26309,790,404280.0
444558,790,125880.0
362192,810,424566.0
298655,888,1284577.0
189326,888,
403991,720,10317.0
333811,104,10317.0
465634,411,1144008.0
360784,790,28800.0
105027,0,505898.0
85732,888,1115.0
100367,19,832471.0
461095,790,6120.0
411530,761,190776.0
204237,790,324000.0
237983,790,26520.0
28762,575,24001428036156.0
191671,758,1187104.0
363927,810,492.0
368634,575,70875443951064.0
367370,663,187.2
228756,619,6000.0
200218,175,12.0
49446,790,359880.0
